Dimension,Segment,Mean_OE,Median_OE,SD_OE,Mean_Drift,Prob_OE_gt_1,Prob_Drift_ge_5,Prob_Raw_Sig,Prob_FDR_Sig,Prob_Final_Trigger
Distribution_Channel,Bancassurance,0.999118736747394,0.9987808940267728,0.023000809769705196,-0.0008812632526058472,0.468,0.016,0.032,0.0,0.0
Region,East,0.9983628245185076,0.9987810509837036,0.019859693718199428,-0.0016371754814925319,0.47,0.006,0.034,0.002,0.002
Region,South,0.9988491924998448,0.9985606641753983,0.021348404536365696,-0.0011508075001553908,0.462,0.006,0.028,0.0,0.0
Product,Family Plus,0.9999754725598444,0.9982240375744347,0.02567081206072729,-2.4527440155563795e-05,0.472,0.03,0.044,0.004,0.004
Age_Group,36-59,1.000619845252448,1.0000163670836328,0.01689336065745764,0.0006198452524479332,0.502,0.006,0.038,0.004,0.004
Age_Group,18-35,0.9997821972077889,0.9992502300673232,0.024755417599046568,-0.00021780279221106082,0.48,0.03,0.04,0.002,0.002
Product,Senior Care Gold,0.9992955465325224,0.9996243609194659,0.014781666578857893,-0.0007044534674777152,0.482,0.0,0.032,0.004,0.0
Gender,M,0.9990162355929879,0.9983983405250292,0.014154222339591613,-0.0009837644070121723,0.45,0.0,0.04,0.002,0.0
Gender,F,0.9999714137714065,0.9994173306992855,0.013882076336993456,-2.858622859331292e-05,0.482,0.0,0.036,0.002,0.0
Age_Group,60+,0.999001445069991,0.9992499017104994,0.0129404342068582,-0.0009985549300090071,0.466,0.0,0.026,0.002,0.0
Region,West,0.9988094204758018,0.9975497353216144,0.020373184097774718,-0.0011905795241983084,0.456,0.008,0.034,0.002,0.002
Product,Standard Care,0.9995971877526174,0.9983968428843017,0.01523612896723422,-0.000402812247382603,0.46,0.0,0.04,0.0,0.0
Distribution_Channel,Broker,0.9993925275398045,0.9995008069091025,0.013402922584221988,-0.000607472460195583,0.49,0.0,0.034,0.002,0.0
Distribution_Channel,Direct,0.9998479958495149,0.9991047680999734,0.01753211316314173,-0.0001520041504851826,0.486,0.002,0.036,0.0,0.0
Region,North,1.0015174422781636,1.001386135424575,0.018328425480010464,0.0015174422781636548,0.536,0.008,0.044,0.0,0.0
